#example based on original JCAMP spec paper
599.86,0
601.7888888889,0
603.7177777778,0
605.6466666667,0
607.5755555556,2
609.5044444444,4
611.4333333333,4
613.3622222222,4
615.2911111111,7
617.22,5
619.1488888889,4
621.0777777778,4
623.0066666667,5
624.9355555556,5
626.8644444444,1
628.7933333333,10
630.7222222222,11
632.6511111111,11
634.579,6
636.5078888889,5
638.4367777778,7
640.3656666667,6
642.2945555556,9
644.2234444444,9
646.1523333333,7
648.0812222222,10
650.0101111111,10
651.938,9
653.8668888889,10
655.7957777778,11
657.7246666667,12
659.6535555556,15
661.5824444444,16
663.5113333333,16
665.4402222222,14
667.3691111111,17
669.298,38
671.2268888889,38
673.1557777778,35
675.0846666667,38
677.0135555556,42
678.9424444444,47
680.8713333333,54
682.8002222222,59
684.7291111111,66
686.657,75
688.5858888889,78
690.5147777778,88
692.4436666667,96
694.3725555556,104
696.3014444444,110
698.2303333333,121
700.1592222222,128
